Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
2155,Reindeer Games,Thriller,1038,English,11.470135,25/02/2000,124,Released,5.4,173
8978,Assault on Precinct 13,Thriller,1038,English,18.706504,19/01/2005,109,Released,6,311
303858,Money Monster,Thriller,1038,English,38.279458,12/05/2016,98,Released,6.5,1068
205588,Our Kind of Traitor,Thriller,1038,English,10.547959,05/05/2016,108,Released,6,160
334074,Survivor,Thriller,1038,English,33.625477,21/05/2015,96,Released,5.4,404
75638,Red Lights,Thriller,1038,English,22.748174,02/03/2012,119,Released,6,376
31932,City of Ghosts,Thriller,1038,English,2.64486,01/01/2002,116,Released,5.4,18
157849,A Most Wanted Man,Thriller,1038,English,26.708193,25/07/2014,121,Released,6.5,541
36047,"The In,Crowd",Thriller,1038,English,0.249245,19/07/2000,105,Released,4.7,15
77495,Sleep Tight,Thriller,1038,Spanish,9.136965,14/10/2011,107,Released,7,202
241251,The Boy Next Door,Thriller,1038,English,24.161735,23/01/2015,91,Released,4.1,1022
176077,Enter the Dangerous Mind,Thriller,1038,English,1.998826,11/03/2013,88,Released,4.8,14
342502,AWOL-72,Thriller,1038,English,1.141463,07/08/2015,79,Released,2.8,10
283384,"The,Calling",Thriller,1038,English,5.759493,05/08/2014,108,Released,5.6,88
215881,Plush,Thriller,1038,English,5.099368,13/09/2013,98,Released,5.4,40
119458,Supercapitalist,Thriller,1038,English,0.174311,10/08/2012,103,Released,3.5,2
299553,Shark Lake,Thriller,1038,English,1.187764,02/10/2015,92,Released,4.4,19
20296,Chocolate: Deep Dark Secrets,Thriller,1038,English,0.887821,16/09/2005,200,Released,3.4,6
278348,The Maid's Room,Thriller,1038,English,1.501688,08/08/2014,98,Released,4.8,4
13538,Straightheads,Thriller,1038,English,8.302951,27/04/2007,88,Released,5.2,40
58233,Johnny English Reborn,"Crime,Adventure,Action,Comedy,Thriller",1039,English,35.6585,15/09/2011,101,Released,6,1007
1427,Perfume: The Story of a Murderer,"Crime,Fantasy,Drama",1040,English,42.551902,13/09/2006,147,Released,7.1,1165
13816,Idlewild,"Crime,Drama,Music",1041,English,2.711955,25/08/2006,121,Released,5.1,17
1725,West Side Story,"Crime,Drama,Music",1041,English,23.431117,18/10/1961,152,Released,7,389
